date,asset,ret
2017-03-27,GLD,0.005636868294673025
2017-03-28,GLD,-0.004099371444605038
2017-03-29,GLD,0.002436163586164053
2017-03-30,GLD,-0.007206910225050822
2017-03-31,GLD,0.0021102388572973307
2017-04-03,GLD,0.005306580584065079
2017-04-04,GLD,0.002262289701825848
2017-04-05,GLD,0.0
2017-04-06,GLD,-0.003678334988324705
2017-04-07,GLD,0.0023493772325884343
2017-04-10,GLD,0.0
2017-04-11,GLD,0.014481863135711759
2017-04-12,GLD,0.006848701913851674
2017-04-13,GLD,0.004753334264967268
2017-04-17,GLD,-0.0029363834815018253
2017-04-18,GLD,0.004744779460001958
2017-04-19,GLD,-0.008874746300268521
2017-04-20,GLD,0.0018893922713916211
2017-04-21,GLD,0.002869780885113693
2017-04-24,GLD,-0.006785988212145488
2017-04-25,GLD,-0.010125150830952667
2017-04-26,GLD,0.0049064144523129904
2017-04-27,GLD,-0.003723907331012466
2017-04-28,GLD,0.0031563855415273068
2017-05-01,GLD,-0.009108209859209682
2017-05-02,GLD,-0.00016709821486060594
2017-05-03,GLD,-0.013957360197643709
2017-05-04,GLD,-0.010086475737808298
2017-05-05,GLD,0.0018837333588364036
2017-05-08,GLD,-0.002222050521183294
2017-05-09,GLD,-0.005995691205500586
2017-05-10,GLD,-8.618815999517082e-05
2017-05-11,GLD,0.003964142371969848
2017-05-12,GLD,0.0028326337429587234
2017-05-15,GLD,0.0026534071191921527
2017-05-16,GLD,0.0043537829852127174
2017-05-17,GLD,0.018189539837597968
2017-05-18,GLD,-0.008181011348557088
2017-05-19,GLD,0.0049659454541624015
2017-05-22,GLD,0.004187604636601616
2017-05-23,GLD,-0.006338633249028169
2017-05-24,GLD,0.003944948993712671
2017-05-25,GLD,-0.0010868426783263718
2017-05-26,GLD,0.00887175702052101
2017-05-30,GLD,-0.003318413164433487
2017-05-31,GLD,0.003995366733579031
2017-06-01,GLD,0.0008290372396291268
2017-06-02,GLD,0.0073724269437449585
2017-06-05,GLD,0.0009867835373715828
2017-06-06,GLD,0.011254375087548674
2017-06-07,GLD,-0.005280272412152454
2017-06-08,GLD,-0.006533241668445489
2017-06-09,GLD,-0.00912454251071615
