date,asset,is_live,is_tradeable,has_full_history_window
2016-11-08,SPY,True,True,True
2016-11-09,SPY,True,True,True
2016-11-10,SPY,True,True,True
2016-11-11,SPY,True,True,True
2016-11-14,SPY,True,True,True
2016-11-15,SPY,True,True,True
2016-11-16,SPY,True,True,True
2016-11-17,SPY,True,True,True
2016-11-18,SPY,True,True,True
2016-11-21,SPY,True,True,True
2016-11-22,SPY,True,True,True
2016-11-23,SPY,True,True,True
2016-11-25,SPY,True,True,True
2016-11-28,SPY,True,True,True
2016-11-29,SPY,True,True,True
2016-11-30,SPY,True,True,True
2016-12-01,SPY,True,True,True
2016-12-02,SPY,True,True,True
2016-12-05,SPY,True,True,True
2016-12-06,SPY,True,True,True
2016-12-07,SPY,True,True,True
2016-12-08,SPY,True,True,True
2016-12-09,SPY,True,True,True
2016-12-12,SPY,True,True,True
2016-12-13,SPY,True,True,True
2016-12-14,SPY,True,True,True
2016-12-15,SPY,True,True,True
2016-12-16,SPY,True,True,True
2016-12-19,SPY,True,True,True
2016-12-20,SPY,True,True,True
2016-12-21,SPY,True,True,True
2016-12-22,SPY,True,True,True
2016-12-23,SPY,True,True,True
2016-12-27,SPY,True,True,True
2016-12-28,SPY,True,True,True
2016-12-29,SPY,True,True,True
2016-12-30,SPY,True,True,True
2017-01-03,SPY,True,True,True
2017-01-04,SPY,True,True,True
2017-01-05,SPY,True,True,True
2017-01-06,SPY,True,True,True
2017-01-09,SPY,True,True,True
2017-01-10,SPY,True,True,True
2017-01-11,SPY,True,True,True
2017-01-12,SPY,True,True,True
2017-01-13,SPY,True,True,True
2017-01-17,SPY,True,True,True
2017-01-18,SPY,True,True,True
2017-01-19,SPY,True,True,True
2017-01-20,SPY,True,True,True
2017-01-23,SPY,True,True,True
2017-01-24,SPY,True,True,True
2017-01-25,SPY,True,True,True
2017-01-26,SPY,True,True,True
2017-01-27,SPY,True,True,True
2017-01-30,SPY,True,True,True
2017-01-31,SPY,True,True,True
2017-02-01,SPY,True,True,True
2017-02-02,SPY,True,True,True
2017-02-03,SPY,True,True,True
2017-02-06,SPY,True,True,True
2017-02-07,SPY,True,True,True
2017-02-08,SPY,True,True,True
2017-02-09,SPY,True,True,True
2017-02-10,SPY,True,True,True
2017-02-13,SPY,True,True,True
2017-02-14,SPY,True,True,True
2017-02-15,SPY,True,True,True
2017-02-16,SPY,True,True,True
2017-02-17,SPY,True,True,True
2017-02-21,SPY,True,True,True
2017-02-22,SPY,True,True,True
2017-02-23,SPY,True,True,True
2017-02-24,SPY,True,True,True
2017-02-27,SPY,True,True,True
2017-02-28,SPY,True,True,True
2017-03-01,SPY,True,True,True
2017-03-02,SPY,True,True,True
2017-03-03,SPY,True,True,True
2017-03-06,SPY,True,True,True
2017-03-07,SPY,True,True,True
2017-03-08,SPY,True,True,True
2017-03-09,SPY,True,True,True
2017-03-10,SPY,True,True,True
2017-03-13,SPY,True,True,True
2017-03-14,SPY,True,True,True
2017-03-15,SPY,True,True,True
2017-03-16,SPY,True,True,True
2017-03-17,SPY,True,True,True
2017-03-20,SPY,True,True,True
2017-03-21,SPY,True,True,True
2017-03-22,SPY,True,True,True
2017-03-23,SPY,True,True,True
2017-03-24,SPY,True,True,True
2017-03-27,SPY,True,True,True
2017-03-28,SPY,True,True,True
2017-03-29,SPY,True,True,True
2017-03-30,SPY,True,True,True
2017-03-31,SPY,True,True,True
2017-04-03,SPY,True,True,True
2017-04-04,SPY,True,True,True
2017-04-05,SPY,True,True,True
2017-04-06,SPY,True,True,True
2017-04-07,SPY,True,True,True
2017-04-10,SPY,True,True,True
2017-04-11,SPY,True,True,True
2017-04-12,SPY,True,True,True
2017-04-13,SPY,True,True,True
2017-04-17,SPY,True,True,True
